scraped_date,title,price,availability,area,link
2024-09-15,Residence 608,"$3,990",Available 9/27/24,Residence 608,beachjc.com/apartments-jersey-city-for-rent/beach/residence-608/
2024-09-15,Residence 722,"$4,380",Available 9/27/24,Residence 722,beachjc.com/apartments-jersey-city-for-rent/beach/residence-722/
2024-09-15,Residence 423,"$4,390",Available Now,Residence 423,beachjc.com/apartments-jersey-city-for-rent/beach/residence-423/
2024-09-15,Residence 211,"$4,440",Available Now,Residence 211,beachjc.com/apartments-jersey-city-for-rent/beach/residence-211/
2024-09-15,Residence 511,"$4,455",Available 9/21/24,Residence 511,beachjc.com/apartments-jersey-city-for-rent/beach/residence-511/
2024-09-15,Residence 1523,"$4,505",Available Now,Residence 1523,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1523/
2024-09-15,Residence 206,"$5,155",Available 10/16/24,Residence 206,beachjc.com/apartments-jersey-city-for-rent/beach/residence-206/
2024-09-15,Residence 1020,"$5,215",Available 9/18/24,Residence 1020,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1020/
2024-09-15,Residence 820,"$5,250",Available 10/1/24,Residence 820,beachjc.com/apartments-jersey-city-for-rent/beach/residence-820/
2024-09-15,Residence 507,"$5,275",Available 9/27/24,Residence 507,beachjc.com/apartments-jersey-city-for-rent/beach/residence-507/
2024-09-15,Residence 1204,"$5,330",Available Now,Residence 1204,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1204/
2024-09-15,Residence 1621,"$5,410",Available Now,Residence 1621,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1621/
2024-09-15,Residence 904,"$5,480",Available 9/27/24,Residence 904,beachjc.com/apartments-jersey-city-for-rent/beach/residence-904/
2024-09-15,Residence 415,"$5,595",Available 9/20/24,Residence 415,beachjc.com/apartments-jersey-city-for-rent/beach/residence-415/
2024-09-15,Residence 515,"$5,645",Available 10/4/24,Residence 515,beachjc.com/apartments-jersey-city-for-rent/beach/residence-515/
2024-09-15,Residence 402,"$5,760",Available Now,Residence 402,beachjc.com/apartments-jersey-city-for-rent/beach/residence-402/
2024-09-15,Residence 226,"$6,380",Available 10/5/24,Residence 226,beachjc.com/apartments-jersey-city-for-rent/beach/residence-226/
2024-09-15,Residence 1625,"$7,050",Available 9/25/24,Residence 1625,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1625/
2024-09-15,Residence 2125,"$7,075",Available 10/6/24,Residence 2125,beachjc.com/apartments-jersey-city-for-rent/beach/residence-2125/
2024-09-16,Residence 219,"$3,520",Available Now,Residence 219,beachjc.com/apartments-jersey-city-for-rent/beach/residence-219/
2024-09-16,Residence 412,"$3,895",Available Now,Residence 412,beachjc.com/apartments-jersey-city-for-rent/beach/residence-412/
2024-09-16,Residence 608,"$3,990",Available 9/27/24,Residence 608,beachjc.com/apartments-jersey-city-for-rent/beach/residence-608/
2024-09-16,Residence 722,"$4,375",Available 9/27/24,Residence 722,beachjc.com/apartments-jersey-city-for-rent/beach/residence-722/
2024-09-16,Residence 423,"$4,385",Available Now,Residence 423,beachjc.com/apartments-jersey-city-for-rent/beach/residence-423/
2024-09-16,Residence 211,"$4,435",Available Now,Residence 211,beachjc.com/apartments-jersey-city-for-rent/beach/residence-211/
2024-09-16,Residence 511,"$4,450",Available 9/21/24,Residence 511,beachjc.com/apartments-jersey-city-for-rent/beach/residence-511/
2024-09-16,Residence 1523,"$4,500",Available Now,Residence 1523,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1523/
2024-09-16,Residence 206,"$5,155",Available 10/16/24,Residence 206,beachjc.com/apartments-jersey-city-for-rent/beach/residence-206/
2024-09-16,Residence 1020,"$5,215",Available 9/18/24,Residence 1020,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1020/
2024-09-16,Residence 820,"$5,250",Available 10/1/24,Residence 820,beachjc.com/apartments-jersey-city-for-rent/beach/residence-820/
2024-09-16,Residence 507,"$5,275",Available 9/27/24,Residence 507,beachjc.com/apartments-jersey-city-for-rent/beach/residence-507/
2024-09-16,Residence 1204,"$5,330",Available Now,Residence 1204,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1204/
2024-09-16,Residence 1621,"$5,410",Available Now,Residence 1621,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1621/
2024-09-16,Residence 904,"$5,480",Available 9/27/24,Residence 904,beachjc.com/apartments-jersey-city-for-rent/beach/residence-904/
2024-09-16,Residence 415,"$5,595",Available 9/20/24,Residence 415,beachjc.com/apartments-jersey-city-for-rent/beach/residence-415/
2024-09-16,Residence 515,"$5,645",Available 10/4/24,Residence 515,beachjc.com/apartments-jersey-city-for-rent/beach/residence-515/
2024-09-16,Residence 402,"$5,760",Available Now,Residence 402,beachjc.com/apartments-jersey-city-for-rent/beach/residence-402/
2024-09-16,Residence 226,"$6,380",Available 10/5/24,Residence 226,beachjc.com/apartments-jersey-city-for-rent/beach/residence-226/
2024-09-16,Residence 1625,"$7,030",Available 9/25/24,Residence 1625,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1625/
2024-09-16,Residence 2125,"$7,055",Available 10/6/24,Residence 2125,beachjc.com/apartments-jersey-city-for-rent/beach/residence-2125/
2024-09-16,Residence 219,"$3,520",Available Now,Residence 219,beachjc.com/apartments-jersey-city-for-rent/beach/residence-219/
2024-09-16,Residence 412,"$3,895",Available Now,Residence 412,beachjc.com/apartments-jersey-city-for-rent/beach/residence-412/
2024-09-16,Residence 608,"$3,990",Available 9/27/24,Residence 608,beachjc.com/apartments-jersey-city-for-rent/beach/residence-608/
2024-09-16,Residence 722,"$4,375",Available 9/27/24,Residence 722,beachjc.com/apartments-jersey-city-for-rent/beach/residence-722/
2024-09-16,Residence 423,"$4,385",Available Now,Residence 423,beachjc.com/apartments-jersey-city-for-rent/beach/residence-423/
2024-09-16,Residence 211,"$4,435",Available Now,Residence 211,beachjc.com/apartments-jersey-city-for-rent/beach/residence-211/
2024-09-16,Residence 511,"$4,450",Available 9/21/24,Residence 511,beachjc.com/apartments-jersey-city-for-rent/beach/residence-511/
2024-09-16,Residence 1523,"$4,500",Available Now,Residence 1523,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1523/
2024-09-16,Residence 206,"$5,155",Available 10/16/24,Residence 206,beachjc.com/apartments-jersey-city-for-rent/beach/residence-206/
2024-09-16,Residence 1020,"$5,215",Available 9/18/24,Residence 1020,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1020/
2024-09-16,Residence 820,"$5,250",Available 10/1/24,Residence 820,beachjc.com/apartments-jersey-city-for-rent/beach/residence-820/
2024-09-16,Residence 507,"$5,275",Available 9/27/24,Residence 507,beachjc.com/apartments-jersey-city-for-rent/beach/residence-507/
2024-09-16,Residence 1204,"$5,330",Available Now,Residence 1204,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1204/
2024-09-16,Residence 1621,"$5,410",Available Now,Residence 1621,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1621/
2024-09-16,Residence 904,"$5,480",Available 9/27/24,Residence 904,beachjc.com/apartments-jersey-city-for-rent/beach/residence-904/
2024-09-16,Residence 415,"$5,595",Available 9/20/24,Residence 415,beachjc.com/apartments-jersey-city-for-rent/beach/residence-415/
2024-09-16,Residence 515,"$5,645",Available 10/4/24,Residence 515,beachjc.com/apartments-jersey-city-for-rent/beach/residence-515/
2024-09-16,Residence 402,"$5,760",Available Now,Residence 402,beachjc.com/apartments-jersey-city-for-rent/beach/residence-402/
2024-09-16,Residence 226,"$6,380",Available 10/5/24,Residence 226,beachjc.com/apartments-jersey-city-for-rent/beach/residence-226/
2024-09-16,Residence 1625,"$7,030",Available 9/25/24,Residence 1625,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1625/
2024-09-16,Residence 2125,"$7,055",Available 10/6/24,Residence 2125,beachjc.com/apartments-jersey-city-for-rent/beach/residence-2125/
2024-09-16,Residence 219,"$3,520",Available Now,433 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-219/
2024-09-16,Residence 412,"$3,895",Available Now,728 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-412/
2024-09-16,Residence 608,"$3,990",Available 9/27/24,552 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-608/
2024-09-16,Residence 722,"$4,375",Available 9/27/24,723 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-722/
2024-09-16,Residence 423,"$4,385",Available Now,730 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-423/
2024-09-16,Residence 211,"$4,435",Available Now,761 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-211/
2024-09-16,Residence 511,"$4,450",Available 9/21/24,761 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-511/
2024-09-16,Residence 1523,"$4,500",Available Now,730 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1523/
2024-09-16,Residence 206,"$5,155",Available 10/16/24,"1,096 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-206/
2024-09-16,Residence 1020,"$5,215",Available 9/18/24,930 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1020/
2024-09-16,Residence 820,"$5,250",Available 10/1/24,930 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-820/
2024-09-16,Residence 507,"$5,275",Available 9/27/24,"1,121 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-507/
2024-09-16,Residence 1204,"$5,330",Available Now,"1,009 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-1204/
2024-09-16,Residence 1621,"$5,410",Available Now,877 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1621/
2024-09-16,Residence 904,"$5,480",Available 9/27/24,"1,009 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-904/
2024-09-16,Residence 415,"$5,595",Available 9/20/24,"1,055 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-415/
2024-09-16,Residence 515,"$5,645",Available 10/4/24,"1,055 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-515/
2024-09-16,Residence 402,"$5,760",Available Now,"1,020 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-402/
2024-09-16,Residence 226,"$6,380",Available 10/5/24,"1,166 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-226/
2024-09-16,Residence 1625,"$7,030",Available 9/25/24,"1,409 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-1625/
2024-09-16,Residence 2125,"$7,055",Available 10/6/24,"1,409 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-2125/
2024-09-17,Residence 219,"$3,520",Available Now,433 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-219/
2024-09-17,Residence 412,"$3,895",Available Now,728 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-412/
2024-09-17,Residence 608,"$3,990",Available 9/27/24,552 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-608/
2024-09-17,Residence 722,"$4,375",Available 9/27/24,723 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-722/
2024-09-17,Residence 423,"$4,385",Available Now,730 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-423/
2024-09-17,Residence 211,"$4,435",Available Now,761 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-211/
2024-09-17,Residence 511,"$4,450",Available 9/21/24,761 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-511/
2024-09-17,Residence 206,"$5,155",Available 10/16/24,"1,096 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-206/
2024-09-17,Residence 1020,"$5,215",Available 9/18/24,930 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1020/
2024-09-17,Residence 820,"$5,250",Available 10/1/24,930 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-820/
2024-09-17,Residence 507,"$5,275",Available 9/27/24,"1,121 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-507/
2024-09-17,Residence 1204,"$5,330",Available Now,"1,009 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-1204/
2024-09-17,Residence 1621,"$5,410",Available Now,877 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1621/
2024-09-17,Residence 904,"$5,480",Available 9/27/24,"1,009 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-904/
2024-09-17,Residence 415,"$5,595",Available 9/20/24,"1,055 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-415/
2024-09-17,Residence 515,"$5,645",Available 10/4/24,"1,055 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-515/
2024-09-17,Residence 402,"$5,760",Available Now,"1,020 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-402/
2024-09-17,Residence 226,"$6,380",Available 10/5/24,"1,166 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-226/
2024-09-17,Residence 1625,"$7,005",Available 9/25/24,"1,409 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-1625/
2024-09-17,Residence 2125,"$7,030",Available 10/6/24,"1,409 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-2125/
2024-09-17,Residence 219,"$3,415",Available Now,433 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-219/
2024-09-17,Residence 412,"$3,775",Available Now,728 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-412/
2024-09-17,Residence 608,"$3,885",Available 9/27/24,552 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-608/
2024-09-17,Residence 722,"$4,255",Available 9/27/24,723 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-722/
2024-09-17,Residence 423,"$4,265",Available Now,730 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-423/
2024-09-17,Residence 211,"$4,315",Available Now,761 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-211/
2024-09-17,Residence 511,"$4,330",Available 9/21/24,761 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-511/
2024-09-17,Residence 206,"$5,105",Available 10/16/24,"1,096 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-206/
2024-09-17,Residence 1020,"$5,165",Available 9/18/24,930 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1020/
2024-09-17,Residence 820,"$5,200",Available 10/1/24,930 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-820/
2024-09-17,Residence 507,"$5,225",Available 9/27/24,"1,121 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-507/
2024-09-17,Residence 1204,"$5,330",Available Now,"1,009 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-1204/
2024-09-17,Residence 1621,"$5,360",Available Now,877 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1621/
2024-09-17,Residence 904,"$5,430",Available 9/27/24,"1,009 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-904/
2024-09-17,Residence 415,"$5,545",Available 9/20/24,"1,055 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-415/
2024-09-17,Residence 515,"$5,595",Available 10/4/24,"1,055 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-515/
2024-09-17,Residence 402,"$5,710",Available Now,"1,020 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-402/
2024-09-17,Residence 226,"$6,330",Available 10/5/24,"1,166 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-226/
2024-09-17,Residence 1625,"$7,005",Available 9/25/24,"1,409 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-1625/
2024-09-17,Residence 2125,"$7,030",Available 10/6/24,"1,409 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-2125/
2024-09-18,Residence 219,"$3,415",Available Now,433 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-219/
2024-09-18,Residence 412,"$3,775",Available Now,728 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-412/
2024-09-18,Residence 608,"$3,885",Available 9/27/24,552 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-608/
2024-09-18,Residence 722,"$4,255",Available 9/27/24,723 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-722/
2024-09-18,Residence 423,"$4,265",Available Now,730 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-423/
2024-09-18,Residence 211,"$4,315",Available Now,761 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-211/
2024-09-18,Residence 511,"$4,330",Available 9/21/24,761 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-511/
2024-09-18,Residence 206,"$5,060",Available 10/16/24,"1,096 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-206/
2024-09-18,Residence 820,"$5,155",Available 10/1/24,930 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-820/
2024-09-18,Residence 1020,"$5,165",Available Now,930 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1020/
2024-09-18,Residence 507,"$5,225",Available 9/27/24,"1,121 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-507/
2024-09-18,Residence 1204,"$5,330",Available Now,"1,009 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-1204/
2024-09-18,Residence 1621,"$5,360",Available Now,877 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1621/
2024-09-18,Residence 904,"$5,430",Available 9/27/24,"1,009 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-904/
2024-09-18,Residence 415,"$5,545",Available 9/20/24,"1,055 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-415/
2024-09-18,Residence 515,"$5,550",Available 10/4/24,"1,055 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-515/
2024-09-18,Residence 402,"$5,710",Available Now,"1,020 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-402/
2024-09-18,Residence 226,"$6,285",Available 10/5/24,"1,166 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-226/
2024-09-18,Residence 1625,"$6,970",Available 9/25/24,"1,409 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-1625/
2024-09-18,Residence 2125,"$6,995",Available 10/6/24,"1,409 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-2125/
2024-09-19,Residence 219,"$3,415",Available Now,433 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-219/
2024-09-19,Residence 412,"$3,775",Available Now,728 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-412/
2024-09-19,Residence 608,"$3,885",Available 9/27/24,552 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-608/
2024-09-19,Residence 1208,"$3,935",Available 10/16/24,552 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1208/
2024-09-19,Residence 722,"$4,255",Available 9/27/24,723 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-722/
2024-09-19,Residence 423,"$4,265",Available Now,730 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-423/
2024-09-19,Residence 211,"$4,315",Available Now,761 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-211/
2024-09-19,Residence 511,"$4,330",Available 9/21/24,761 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-511/
2024-09-19,Residence 206,"$5,060",Available 10/16/24,"1,096 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-206/
2024-09-19,Residence 820,"$5,155",Available 10/1/24,930 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-820/
2024-09-19,Residence 1020,"$5,165",Available Now,930 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1020/
2024-09-19,Residence 507,"$5,225",Available 9/27/24,"1,121 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-507/
2024-09-19,Residence 1204,"$5,281",Available Now,"1,009 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-1204/
2024-09-19,Residence 1621,"$5,360",Available Now,877 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1621/
2024-09-19,Residence 904,"$5,430",Available 9/27/24,"1,009 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-904/
2024-09-19,Residence 415,"$5,545",Available 9/20/24,"1,055 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-415/
2024-09-19,Residence 515,"$5,550",Available 10/4/24,"1,055 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-515/
2024-09-19,Residence 402,"$5,710",Available Now,"1,020 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-402/
2024-09-19,Residence 226,"$6,285",Available 10/5/24,"1,166 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-226/
2024-09-19,Residence 1625,"$6,940",Available 9/25/24,"1,409 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-1625/
2024-09-19,Residence 2125,"$6,965",Available 10/6/24,"1,409 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-2125/
2024-09-20,Residence 219,"$3,395",Available Now,433 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-219/
2024-09-20,Residence 412,"$3,775",Available Now,728 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-412/
2024-09-20,Residence 608,"$3,865",Available 9/27/24,552 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-608/
2024-09-20,Residence 1208,"$3,935",Available 10/16/24,552 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1208/
2024-09-20,Residence 322,"$4,235",Available 10/21/24,723 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-322/
2024-09-20,Residence 423,"$4,265",Available Now,730 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-423/
2024-09-20,Residence 211,"$4,315",Available Now,761 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-211/
2024-09-20,Residence 511,"$4,330",Available 9/21/24,761 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-511/
2024-09-20,Residence 206,"$5,050",Available 10/16/24,"1,096 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-206/
2024-09-20,Residence 820,"$5,145",Available 10/1/24,930 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-820/
2024-09-20,Residence 1020,"$5,155",Available Now,930 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1020/
2024-09-20,Residence 507,"$5,215",Available 9/27/24,"1,121 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-507/
2024-09-20,Residence 1204,"$5,281",Available Now,"1,009 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-1204/
2024-09-20,Residence 1621,"$5,350",Available Now,877 Sq Ft,beachjc.com/apartments-jersey-city-for-rent/beach/residence-1621/
2024-09-20,Residence 904,"$5,420",Available 9/27/24,"1,009 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-904/
2024-09-20,Residence 415,"$5,535",Available Now,"1,055 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-415/
2024-09-20,Residence 515,"$5,540",Available 10/4/24,"1,055 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-515/
2024-09-20,Residence 402,"$5,700",Available Now,"1,020 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-402/
2024-09-20,Residence 226,"$6,275",Available 10/5/24,"1,166 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-226/
2024-09-20,Residence 1625,"$6,940",Available 9/25/24,"1,409 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-1625/
2024-09-20,Residence 2125,"$6,975",Available 10/6/24,"1,409 Sq Ft",beachjc.com/apartments-jersey-city-for-rent/beach/residence-2125/
